id,property,decision,brand,city,state,keys,guidance,broker,brokerContact,type,status,cfo,date,notes,address,yearBuilt,yearReno,owner,mgmtCo,structure,glLessor,glExpiry,glRent,roomsRev,fbRev,otherRev,totalRev,gop,noi,occ,adr,revpar,rgi,compSet,ourBid,bidDate,pipEst,debt,franchiseExp,ld,motivation,internalOwner,nextStep,driveUrl,vdrUrl,emailUrl
53,Aloft Nashville Airport,Pass,Aloft,Nashville,TN,,,HREC,,Select-service,Marketing,,Jun 30,Turnkey Marriott,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,Moxy Knoxville Downtown,Pass,Moxy,Knoxville,TN,,,Capstaq,,Select-service,★ Bhavnesh/AJ evaluating,,May 29,Embassy comp ~$199 RevPAR; refi-driven returns,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,Staybridge Suites Memphis-Poplar Ave East,Pass,Staybridge Suites,Memphis,TN,,,CBRE,,Extended-stay,CFO Jul 23,,Jul 6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,Home2 Suites Austin/Round Rock,Pass,Home2 Suites,Round Rock,TX,,,Hodges Ward Elliott,,Extended-stay,★ Bhavnesh fwd - look into,,May 18,Reduced guidance; ground-lease buyout; lender pressure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,Homewood Suites Dallas-DFW Airport N-Grapevine,Pass,Homewood Suites,Grapevine,TX,,,HREC,,Extended-stay,CFO Thu Jul 30,"Jul 30, 2026",Jul 3,★ Bhavnesh: possible upside,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,Fairfield Inn & Suites South Hill,Pass,Fairfield Inn,South Hill,VA,,,Alchemy REA,,Select-service,Offers due Jul 1,,Jun 26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,Hampton Inn Emporia,Pass,Hampton Inn,Emporia,VA,,,Alchemy REA,,Select-service,Offers due Jul 1,,Jun 29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,Residence Inn Charlottesville Downtown,Pass,Residence Inn,Charlottesville,VA,,,CBRE,,Extended-stay,CFO was TODAY Jul 16,,Jul 6,★ Bhavnesh: get more info | Offered individually,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,Sheraton Norfolk,Pass,Sheraton,Norfolk,VA,,,Crestline (pro forma),,Full-service,★ Bhavnesh fwd - UW,,Jul 9,CHR pro forma shared,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,Autograph Collection Midwest Portfolio,Pass,Autograph Collection,Midwest,,,,Avison Young,,Portfolio,Tours Jun 8-17,,May 29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,Dual-Brand Hotel Dev (Prime Airport),Pass,-,,,,,Allred Hotel Group,,Development site,For sale,,Jun 20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,Pad-Ready Marriott Dev Site (95-key TownePlace),Pass,-,,,95,$1.4M guidance,HVS,,Development site,New listing,,May 28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,Shovel-Ready Home2/Hyatt Place Development,Pass,-,,,116,,Avison Young,,Development site,Fully permitted (key money),,Jun 4,Home2 Suites ~116 keys,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,TownePlace Suites by Marriott (HBA),Pass,TownePlace Suites,,,,,Hotel Brokers of America / Revere,,Extended-stay,Just listed,,Jun 12,Location behind CA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,Turnkey Hilton Dev Site (99-key Home2),Pass,-,,,99,$1.5M guidance,HVS,,Development site,New listing,,Jun 3,Turnkey Home2 Suites site,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,DoubleTree Birmingham Perimeter Park,Pass,DoubleTree,Birmingham,AL,,,HREC,,Full-service,New listing,,Jun 8,Consistent RevPAR leader,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,Holiday Inn Express & Suites Forrest City,Pass,Holiday Inn Express,Forrest City,AR,82,"$10,500,000",Marcus & Millichap,,Select-service,New listing,,Jul 7,RevPAR ~$92 TTM May'26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,DoubleTree Suites Tucson Williams Center,Pass,DoubleTree,Tucson,AZ,,,Cushman & Wakefield / Revere,,Extended-stay,OM posted,,Jun 24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,Home2 Suites Scottsdale Old Town,Pass,Home2 Suites,Scottsdale,AZ,,,Cushman & Wakefield / Revere,,Extended-stay,CFO Jun 10,,Jun 8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,Hyatt Place Flagstaff,Pass,Hyatt Place,Flagstaff,AZ,,,Allred Hotel Group,,Select-service,Inviting offers,,Jul 3,"New build, walk to university",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,Moxy Phoenix Tempe / ASU Area,Pass,Moxy,Tempe,AZ,,,Cushman & Wakefield / Revere,,Select-service,CFO Jun 10,,Jun 9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,Sonesta ES Suites Tucson,Pass,Sonesta ES Suites,Tucson,AZ,,,HREC,,Extended-stay,Price reduction,,Jun 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,Aloft Mountain View,Pass,Aloft,Mountain View,CA,,,CBRE,,Select-service,Initial offers Aug 6,,Jul 8,Strong YoY RevPAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,Coachella Luxury Wellness Resort Dev (Alila/Hyatt),Pass,-,Coachella,CA,,,Avison Young,,Development site,Offering,,Jul 3,Branded residential option,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,Courtyard Palmdale,Pass,Courtyard,Palmdale,CA,,,HREC (Crexi),,Select-service,Auction (separate),,Jul 8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,Disneyland Anaheim GardenWalk Hotel Site,Pass,-,Anaheim,CA,,,Avison Young,,Development site,Fully entitled,,Jul 7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,DoubleTree Hotel Sonoma Wine Country,Pass,DoubleTree,Rohnert Park,CA,,,JLL,,Full-service,CFO Jul 17,,Jun 16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,Fairfield & Aloft El Segundo LAX,Pass,Fairfield/Aloft,El Segundo,CA,,,CBRE,,Portfolio (+dev),CFO Jun 30,,Jun 18,Hotel & development opp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,Fairfield Inn & Suites (Central California),Pass,Fairfield Inn,Central CA,CA,,,Allred Hotel Group,,Select-service,Just listed,,Jul 7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,Fairfield Inn Tracy,Pass,Fairfield Inn,Tracy,CA,,,HREC (Crexi),,Select-service,Auction / tours next wk,,Jul 8,Must acquire w/ Hampton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,Fairfield Inn Vacaville,Pass,Fairfield Inn,Vacaville,CA,,,HREC (Crexi),,Select-service,Auction / tours next wk,,Jul 9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,Hampton Inn Tracy,Pass,Hampton Inn,Tracy,CA,,,HREC (Crexi),,Select-service,Auction / tours next wk,,Jul 8,Must acquire w/ Fairfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,Hilton Garden Inn Gilroy,Pass,Hilton Garden Inn,Gilroy,CA,,,Revere,,Select-service,Marketing (Tier 1 open),,Jun 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,Napa-Adjacent Golf Course / Hotel Dev,Pass,-,Napa area,CA,,,Cushman & Wakefield / Revere,,Development site,Free land opportunity,,Jun 30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,Residence Inn Palmdale,Pass,Residence Inn,Palmdale,CA,,,HREC (Crexi),,Extended-stay,Auction (separate),,Jul 8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,Residence Inn San Ramon,Pass,Residence Inn,San Ramon,CA,106,,JLL,,Extended-stay,CFO Jul 28,,Jul 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,Residence Inn Vacaville,Pass,Residence Inn,Vacaville,CA,,,HREC (Crexi),,Extended-stay,Auction / tours next wk,,Jul 9,Sold w/ Fairfield (2-pack option),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,San Diego Little Italy Dual-Brand Hotel Site,Pass,-,San Diego,CA,291,,Avison Young,,Development site,Fully entitled,,Jun 12,Pre-built parking; mixed-use option,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,Fairfield Inn & Suites Denver Airport,Pass,Fairfield Inn,Denver,CO,,,Hunter,,Select-service,Just listed,,Jun 22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,Holiday Inn & Suites Denver Tech Center,Pass,Holiday Inn,Centennial,CO,,,CBRE,,Full-service,Marketing,,Jun 25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,Holiday Inn Express & Suites Limon I-70,Pass,Holiday Inn Express,Limon,CO,,,CBRE,,Select-service,Marketing,,Jun 24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,Hyatt Centric Downtown Denver,Pass,Hyatt Centric,Denver,CO,,,CBRE,,Full-service,CFO Jun 9,,Jun 4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,Hyatt House Denver Airport,Pass,Hyatt House,Denver,CO,,,HREC,,Extended-stay,Tours & CFO announced,,Jun 23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,SpringHill Suites Denver Airport,Pass,SpringHill Suites,Denver,CO,,,Hunter,,Select-service,CFO Wed Jul 29,"Jul 29, 2026",Jun 12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,Hilton Garden Inn Milford,Pass,Hilton Garden Inn,Milford,CT,,,JLL,,Select-service,CFO Jul 21,,Jul 9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,Homewood Suites Southington,Pass,Homewood Suites,Southington,CT,,,Hunter,,Extended-stay,CFO Jun 30,,Jun 24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,Arya Hotel & Suites Coconut Grove,Pass,Independent,Coconut Grove,FL,,,Hunter,,Boutique,CFO Jun 25,,Jun 8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,Confidential listing (Crestview-FWB-Destin),Pass,Confidential,Crestview / Destin,FL,60+,,DSH Hotel Advisors,,Independent,Tour Jul 11,,Jul 8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,Crowne Plaza Orlando Lake Buena Vista,Pass,Crowne Plaza,Orlando,FL,,,Hunter,,Full-service,Tours Jul 28-29,,Jul 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,"Daytona Beach Hotel (oceanfront, lender-owned)",Pass,Independent,Daytona Beach,FL,110,,Alchemy REA,,Resort,Tours Jul 21-22,,Jul 2,$1.9M structural work done,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,Former Americano Beach Resort Daytona Beach,Pass,Independent,Daytona Beach,FL,160+,,Avison Young,,Resort,Offers due Jul 22,,Jul 7,3.36 ac; Hilton branding option,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,Hampton Inn by Hilton Panama City Dev Site,Pass,-,Panama City,FL,,,HREC,,Development site,Offering,,Jun 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,Holiday Inn Resort Daytona Beach Oceanfront,Pass,Holiday Inn,Daytona Beach,FL,,,HREC (Crexi),,Resort,Auction Jul 20-22,,Jun 16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,Holiday Inn Tallahassee E Capitol - Univ,Pass,Holiday Inn,Tallahassee,FL,,,JLL,,Full-service,CFO Jun 16,,Jun 15,"2018 build, 6 min to Capitol",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,Kissimmee Hotel/Resort/Apartment Site,Pass,-,Kissimmee,FL,,,HREC,,Development site,Offering,,Jul 9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,Piper Beach Resort (Autograph Collection),Pass,Autograph Collection,Perdido Key,FL,,,HREC,,Resort (dev),Equity term sheets Jul 15,,Jun 19,Development / equity raise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,The Westshore Grand (Tribute),Pass,Tribute,Tampa,FL,,,JLL,,Full-service,Best & final CFO,,Jun 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,Atlanta Marriott Perimeter Center,Pass,Marriott,Atlanta,GA,,,Hunter,,Full-service,Just listed,,Jun 9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,Embassy Suites Atlanta Airport North,Pass,Embassy Suites,Atlanta,GA,178,"$60,000,000",Avison Young,,Full-service,Marketing (new build),,Jun 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,TRYP by Wyndham Savannah,Pass,TRYP,Savannah,GA,,"$25,000,000",Avison Young,,Boutique,CFO Jun 19,,Jun 15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,Fairfield Inn & Suites Urbandale,Pass,Fairfield Inn,Urbandale,IA,89,,CBRE,,Select-service,Marketing,,Jul 7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,Holiday Inn & Suites Des Moines Northwest,Pass,Holiday Inn,Urbandale,IA,,,HREC,,Full-service,Branding optionality,,Jul 1,Flag expires early 2027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,TownePlace Suites Ames (+ dev site),Pass,TownePlace Suites,Ames,IA,,,CBRE,,Extended-stay,Marketing,,Jul 7,Fee simple + 2.49 ac dev site,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,Lewiston ID Three-Hotel Portfolio,Pass,Multiple,Lewiston,ID,,,HREC,,Portfolio,CFO,,Jun 8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,Antioch Hotel & Suites,Pass,Independent,Antioch,IL,68,,Marcus & Millichap,,Independent,RFO (conversion opps),,Jun 24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,Candlewood Suites Peoria at Grand Prairie,Pass,Candlewood Suites,Peoria,IL,,,CBRE,,Extended-stay,Tours,,Jun 11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,Courtyard Chicago Arlington Heights/South,Pass,Courtyard,Arlington Heights,IL,147,,Marcus & Millichap,,Select-service,RFO,,Jun 1,Chicago MSA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,Courtyard Chicago Deerfield,Pass,Courtyard,Deerfield,IL,131,,Marcus & Millichap,,Select-service,RFO,,May 29,Chicago MSA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,Courtyard Rockford,Pass,Courtyard,Rockford,IL,147,,Marcus & Millichap,,Select-service,RFO,,May 28,Chicago MSA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,Embassy Suites Chicago Lombard Oak Brook,Pass,Embassy Suites,Lombard,IL,,,Hunter,,Full-service,CFO Jul 15,,Jul 9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
